HISTID,Year,Month,Day,Hour,Minute,P1,P2
7666,2015,12,17,7,55,0.0,0.0
7666,2015,12,17,8,0,0.0,0.0
7666,2015,12,17,8,5,0.0,0.0
7666,2015,12,17,8,10,0.0,0.0
7666,2015,12,17,8,15,0.0,0.0
7666,2015,12,17,8,20,0.0,0.0
7666,2015,12,17,8,25,0.0,0.0
7666,2015,12,17,8,30,0.0,0.0
7666,2015,12,17,8,35,0.0,0.0
7666,2015,12,17,8,40,0.0,0.0
7666,2015,12,17,8,45,0.0,0.0
7666,2015,12,17,8,50,0.0,0.0
7666,2015,12,17,8,55,0.0,0.0
7666,2015,12,17,9,0,0.0,0.0
7666,2015,12,17,9,5,0.0,0.0
7666,2015,12,17,9,10,0.0,0.0
7666,2015,12,17,9,15,0.0,0.0
7666,2015,12,17,9,20,0.0,0.0
7666,2015,12,17,9,25,0.0,0.0
7666,2015,12,17,9,30,0.0,0.0
7666,2015,12,17,9,35,0.0,0.0
7666,2015,12,17,9,40,0.0,0.0
7666,2015,12,17,9,45,0.0,0.0
7666,2015,12,17,9,50,0.0,0.0
7666,2015,12,17,9,55,0.0,0.0
7666,2015,12,17,10,0,0.0,0.0
7666,2015,12,17,10,5,0.0,0.0
7666,2015,12,17,10,10,0.0,0.0
7666,2015,12,17,10,15,0.0,0.0
7666,2015,12,17,10,20,0.0,0.0
7666,2015,12,17,10,25,0.0,0.0
7666,2015,12,17,10,30,0.0,0.0
7666,2015,12,17,10,35,0.0,0.0
7666,2015,12,17,10,40,0.0,0.0
7666,2015,12,17,10,45,0.0,0.0
7666,2015,12,17,10,50,0.0,0.0
7666,2015,12,17,10,55,0.0,0.0
7666,2015,12,17,11,0,0.0,0.0
7666,2015,12,17,11,5,0.0,0.0
7666,2015,12,17,11,10,0.0,0.0
7666,2015,12,17,11,15,0.0,0.0
7666,2015,12,17,11,20,0.0,0.0
7666,2015,12,17,11,25,0.0,0.0
7666,2015,12,17,11,30,0.0,0.0
7666,2015,12,17,11,35,0.0,0.0
7666,2015,12,17,11,40,0.0,0.0
7666,2015,12,17,11,45,0.0,0.0
7666,2015,12,17,11,50,0.0,0.0
7666,2015,12,17,11,55,0.0,0.0
7666,2015,12,17,12,0,0.0,0.0
7666,2015,12,17,12,5,0.0,0.0
7666,2015,12,17,12,10,0.0,0.0
7666,2015,12,17,12,15,0.0,0.0
7666,2015,12,17,12,20,0.0,0.0
7666,2015,12,17,12,25,0.0,0.0
7666,2015,12,17,12,30,0.0,0.0
7666,2015,12,17,12,35,0.0,0.0
7666,2015,12,17,12,40,0.0,0.0
7666,2015,12,17,12,45,0.0,0.0
7666,2015,12,17,12,50,0.0,0.0
7666,2015,12,17,12,55,0.0,0.0
7666,2015,12,17,13,0,0.0,0.0
7666,2015,12,17,13,5,0.0,0.0
7666,2015,12,17,13,10,0.0,0.0
7666,2015,12,17,13,15,0.0,0.0
7666,2015,12,17,13,20,0.0,0.0
7666,2015,12,17,13,25,0.0,0.0
7666,2015,12,17,13,30,0.0,0.0
7666,2015,12,17,13,35,0.0,0.0
7666,2015,12,17,13,40,0.0,0.0
7666,2015,12,17,13,45,0.0,0.0
7666,2015,12,17,13,50,0.0,0.0
7666,2015,12,17,13,55,0.0,0.0
7666,2015,12,17,14,0,0.0,0.0
7666,2015,12,17,14,5,0.0,0.0
7666,2015,12,17,14,10,0.0,0.0
7666,2015,12,17,14,15,0.0,0.0
7666,2015,12,17,14,20,0.0,0.0
7666,2015,12,17,14,25,0.0,0.0
7666,2015,12,17,14,30,0.0,0.0
7666,2015,12,17,14,35,0.0,0.0
7666,2015,12,17,14,40,0.0,0.0
7666,2015,12,17,14,45,0.0,0.0
7666,2015,12,17,14,50,0.0,0.0
7666,2015,12,17,14,55,0.0,0.0
7666,2015,12,17,15,0,0.0,0.0
7666,2015,12,17,15,5,0.0,0.0
7666,2015,12,17,15,10,0.0,0.0
7666,2015,12,17,15,15,0.0,0.0
7666,2015,12,17,15,20,0.0,0.0
7666,2015,12,17,15,25,0.0,0.0
7666,2015,12,17,15,30,0.0,0.0
